Match ID,innings,batting_team,striker,runs,balls,fours,sixes,strikeRate,isOut,wicketType,fielders,bowler
1450698,2,Oman,Aqib Ilyas,10.0,12.0,2.0,0.0,83.33,True,caught,,D Heyliger
1450698,2,Oman,Ayan Khan,30.0,49.0,2.0,1.0,61.22,True,caught,,Ansh Patel
1450698,2,Oman,Fayyaz Butt,44.0,53.0,5.0,1.0,83.02,True,caught,,D Heyliger
1450698,2,Oman,Jatinder Singh,5.0,13.0,1.0,0.0,38.46,True,caught,,Kaleem Sana
1450698,2,Oman,KH Prajapati,0.0,6.0,0.0,0.0,0.0,True,caught,,Kaleem Sana
1450698,2,Oman,Kaleemullah,0.0,2.0,0.0,0.0,0.0,True,caught,,D Heyliger
1450698,2,Oman,Mehran Khan,37.0,41.0,2.0,3.0,90.24,True,caught,,Akhil Kumar
1450698,2,Oman,PS Athavale,0.0,4.0,0.0,0.0,0.0,True,caught,,D Heyliger
1450698,2,Oman,Shakeel Ahmed,21.0,44.0,0.0,0.0,47.73,False,not out,['-'],
1450698,2,Oman,Shoaib Khan,24.0,30.0,3.0,0.0,80.0,True,lbw,,Saad Bin Zafar
1450698,2,Oman,Zeeshan Maqsood,27.0,36.0,4.0,0.0,75.0,True,lbw,,H Thaker
1450698,1,Canada,Akhil Kumar,,,,,,False,DNB,,
1450698,1,Canada,Ansh Patel,,,,,,False,DNB,,
1450699,1,Nepal,A Saud,10.0,28.0,1.0,0.0,35.71,True,caught,,D Heyliger
1450699,1,Nepal,AK Sah,1.0,5.0,0.0,0.0,20.0,True,caught,,Parveen Kumar
1450699,1,Nepal,Aarif Sheikh,10.0,35.0,0.0,0.0,28.57,True,caught,,Kaleem Sana
1450699,1,Nepal,Aasif Sheikh,2.0,14.0,0.0,0.0,14.29,True,bowled,,Kaleem Sana
1450699,1,Nepal,B Sharki,4.0,8.0,0.0,0.0,50.0,True,caught,,Kaleem Sana
1450699,1,Nepal,Gulsan Jha,34.0,59.0,2.0,2.0,57.63,True,caught,,H Thaker
1450699,1,Nepal,Karan KC,24.0,29.0,2.0,1.0,82.76,True,caught,,D Heyliger
1450699,1,Nepal,LN Rajbanshi,0.0,2.0,0.0,0.0,0.0,False,not out,['-'],
1450699,1,Nepal,RK Paudel,4.0,14.0,1.0,0.0,28.57,True,run out,,Akhil Kumar
1450699,1,Nepal,S Lamichhane,49.0,48.0,5.0,1.0,102.08,True,caught,,H Thaker
1450699,1,Nepal,Sompal Kami,21.0,50.0,2.0,0.0,42.0,True,lbw,,Saad Bin Zafar
1450699,2,Canada,A Johnson,0.0,12.0,0.0,0.0,0.0,True,caught,,Karan KC
1450699,2,Canada,Akhil Kumar,2.0,10.0,0.0,0.0,20.0,True,caught,,S Lamichhane
1450699,2,Canada,H Thaker,13.0,24.0,1.0,0.0,54.17,True,bowled,,S Lamichhane
1450699,2,Canada,NR Kirton,11.0,8.0,1.0,1.0,137.5,False,not out,['-'],
1450699,2,Canada,NS Dhaliwal,87.0,113.0,8.0,4.0,76.99,True,caught,,LN Rajbanshi
1450699,2,Canada,Pargat Singh,64.0,85.0,7.0,2.0,75.29,True,caught,,Gulsan Jha
1450699,2,Canada,S Movva,2.0,5.0,0.0,0.0,40.0,False,not out,['-'],
1450699,2,Canada,D Heyliger,,,,,,False,DNB,,
1450699,2,Canada,Kaleem Sana,,,,,,False,DNB,,
1450699,2,Canada,Saad Bin Zafar,,,,,,False,DNB,,
1450699,2,Canada,Parveen Kumar,,,,,,False,DNB,,
1450701,1,Oman,Aqib Ilyas,61.0,101.0,4.0,2.0,60.4,True,caught,,Kaleem Sana
1450701,1,Oman,Ayan Khan,1.0,10.0,0.0,0.0,10.0,True,caught,,Pargat Singh
1450701,1,Oman,Fayyaz Butt,3.0,5.0,0.0,0.0,60.0,False,not out,['-'],
1450701,1,Oman,Jatinder Singh,7.0,17.0,1.0,0.0,41.18,False,not out,['-'],
1450701,1,Oman,KH Prajapati,52.0,102.0,3.0,0.0,50.98,True,run out,,Parveen Kumar
1450701,1,Oman,Mehran Khan,12.0,13.0,0.0,1.0,92.31,True,caught,,Pargat Singh
1450701,1,Oman,PS Athavale,7.0,19.0,0.0,0.0,36.84,True,run out,,Pargat Singh
1450701,1,Oman,Shakeel Ahmed,29.0,25.0,1.0,2.0,116.0,False,not out,['-'],
1450701,1,Oman,Shoaib Khan,9.0,7.0,0.0,1.0,128.57,True,caught,,Saad Bin Zafar
1450701,1,Oman,Zeeshan Maqsood,3.0,8.0,0.0,0.0,37.5,False,not out,['-'],
1450701,2,Canada,A Johnson,31.0,27.0,2.0,3.0,114.81,True,caught,,Shakeel Ahmed
1450701,2,Canada,H Thaker,10.0,27.0,1.0,0.0,37.04,True,lbw,,Ayan Khan
1450701,2,Canada,NR Kirton,4.0,5.0,1.0,0.0,80.0,True,caught,,Aqib Ilyas
1450701,2,Canada,NS Dhaliwal,25.0,61.0,2.0,0.0,40.98,True,bowled,,Zeeshan Maqsood
1450701,2,Canada,Pargat Singh,83.0,98.0,9.0,1.0,84.69,True,bowled,,Ayan Khan
1450701,2,Canada,S Movva,36.0,61.0,1.0,0.0,59.02,False,not out,['-'],
1450701,2,Canada,Saad Bin Zafar,0.0,1.0,0.0,0.0,0.0,False,not out,['-'],
1450701,1,Oman,Kaleemullah,,,,,,False,DNB,,
1450701,2,Canada,DS Bajwa,,,,,,False,DNB,,
1450701,2,Canada,Kaleem Sana,,,,,,False,DNB,,
